# rm -rf /tmp/*test-raftstore*
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./raft -run 2C || true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestOneSnapshot2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotRecover2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotRecoverManyClients2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotUnreliable2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotUnreliableRecover2C|| true
GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotUnreliableRecoverConcurrentPartition2C|| true
=== RUN   TestSnapshotUnreliableRecoverConcurrentPartition2C
2023/06/14 11:05:05.486572 node.go:193: [0;37m[info] start raft store node, storeID: 4[0m
2023/06/14 11:05:05.487301 peer.go:41: [0;37m[info] region id:1 region_epoch:<conf_ver:1 version:1 > peers:<id:5 store_id:5 > peers:<id:1 store_id:1 > peers:<id:2 store_id:2 > peers:<id:3 store_id:3 > peers:<id:4 store_id:4 >  create peer with ID 4[0m
2023/06/14 11:05:05.487381 log.go:79: [0;37m[info] firstindex{6} lastIndex{5} commit{5}[0m
2023/06/14 11:05:05.487424 raft.go:198: [0;37m[info] raft{4} new succeed important state: vote{0} term{5} commit{5} peers{[5 1 2 3 4]}[0m
2023/06/14 11:05:05.487446 raftstore.go:174: [0;37m[info] start store 4, region_count 1, tombstone_count 0, takes 437.545µs[0m
2023/06/14 11:05:05.487995 node.go:193: [0;37m[info] start raft store node, storeID: 5[0m
2023/06/14 11:05:05.488133 peer.go:41: [0;37m[info] region id:1 region_epoch:<conf_ver:1 version:1 > peers:<id:5 store_id:5 > peers:<id:1 store_id:1 > peers:<id:2 store_id:2 > peers:<id:3 store_id:3 > peers:<id:4 store_id:4 >  create peer with ID 5[0m
2023/06/14 11:05:05.488316 log.go:79: [0;37m[info] firstindex{6} lastIndex{5} commit{5}[0m
2023/06/14 11:05:05.488401 raft.go:198: [0;37m[info] raft{5} new succeed important state: vote{0} term{5} commit{5} peers{[5 1 2 3 4]}[0m
2023/06/14 11:05:05.488419 raftstore.go:174: [0;37m[info] start store 5, region_count 1, tombstone_count 0, takes 333.855µs[0m
2023/06/14 11:05:05.489128 node.go:193: [0;37m[info] start raft store node, storeID: 1[0m
