# rm -rf /tmp/*test-raftstore*
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./raft -run 2C || true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestOneSnapshot2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotRecover2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotRecoverManyClients2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotUnreliable2C|| true
# GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotUnreliableRecover2C|| true
GO111MODULE=on go test -v --count=1 --parallel=1 -p=1 ./kv/test_raftstore -run ^TestSnapshotUnreliableRecoverConcurrentPartition2C|| true
=== RUN   TestSnapshotUnreliableRecoverConcurrentPartition2C
2023/06/14 11:05:06.268361 node.go:193: [0;37m[info] start raft store node, storeID: 1[0m
2023/06/14 11:05:06.270033 peer.go:41: [0;37m[info] region id:1 region_epoch:<conf_ver:1 version:1 > peers:<id:4 store_id:4 > peers:<id:5 store_id:5 > peers:<id:1 store_id:1 > peers:<id:2 store_id:2 > peers:<id:3 store_id:3 >  create peer with ID 1[0m
2023/06/14 11:05:06.270145 log.go:79: [0;37m[info] firstindex{6} lastIndex{5} commit{5}[0m
2023/06/14 11:05:06.270187 raft.go:198: [0;37m[info] raft{1} new succeed important state: vote{0} term{5} commit{5} peers{[4 5 1 2 3]}[0m
2023/06/14 11:05:06.270210 raftstore.go:174: [0;37m[info] start store 1, region_count 1, tombstone_count 0, takes 1.474502ms[0m
2023/06/14 11:05:06.271598 node.go:193: [0;37m[info] start raft store node, storeID: 2[0m
2023/06/14 11:05:06.272793 peer.go:41: [0;37m[info] region id:1 region_epoch:<conf_ver:1 version:1 > peers:<id:4 store_id:4 > peers:<id:5 store_id:5 > peers:<id:1 store_id:1 > peers:<id:2 store_id:2 > peers:<id:3 store_id:3 >  create peer with ID 2[0m
2023/06/14 11:05:06.272987 log.go:79: [0;37m[info] firstindex{6} lastIndex{5} commit{5}[0m
2023/06/14 11:05:06.273027 raft.go:198: [0;37m[info] raft{2} new succeed important state: vote{0} term{5} commit{5} peers{[4 5 1 2 3]}[0m
2023/06/14 11:05:06.273045 raftstore.go:174: [0;37m[info] start store 2, region_count 1, tombstone_count 0, takes 310.166µs[0m
2023/06/14 11:05:06.274281 node.go:193: [0;37m[info] start raft store node, storeID: 3[0m
